sample,wavelength,trial1,trial2,trial3
PBS,400,83,5,29
PBS,410,22,11,26
PBS,420,138,59,38
PBS,430,97,7,54
PBS,440,112,70,99
PBS,450,78,30,55
PBS,460,147,49,87
PBS,470,89,19,146
PBS,480,120,16,68
PBS,490,54,44,29
PBS,500,49,30,38
PBS,510,16,20,2
PBS,520,44,22,11
PBS,530,134,8,3
PBS,540,129,56,54
PBS,550,37,37,80
PBS,560,47,81,12
PBS,570,114,31,61
PBS,580,48,26,7
PBS,590,188,6,189
PBS,600,120,155,177
HiBiT,400,351,461,661
HiBiT,410,1529,1426,3125
HiBiT,420,4191,4319,8159
HiBiT,430,6642,5493,13045
HiBiT,440,7766,7228,17528
HiBiT,450,8512,7665,19393
HiBiT,460,6944,6935,15121
HiBiT,470,5067,5555,11067
HiBiT,480,4640,4173,8865
HiBiT,490,3626,3251,7335
HiBiT,500,2509,2823,5187
HiBiT,510,1881,1909,3357
HiBiT,520,1843,1439,2537
HiBiT,530,1026,781,1699
HiBiT,540,641,974,1273
HiBiT,550,552,416,892
HiBiT,560,293,282,554
HiBiT,570,163,159,701
HiBiT,580,253,448,495
HiBiT,590,143,243,670
HiBiT,600,261,38,367
TAMRA-HiBiT,400,51,69,139
TAMRA-HiBiT,410,279,299,352
TAMRA-HiBiT,420,606,490,961
TAMRA-HiBiT,430,894,682,1614
TAMRA-HiBiT,440,988,1111,1747
TAMRA-HiBiT,450,1229,1066,2162
TAMRA-HiBiT,460,1064,899,1812
TAMRA-HiBiT,470,894,653,1254
TAMRA-HiBiT,480,666,479,898
TAMRA-HiBiT,490,582,332,655
TAMRA-HiBiT,500,309,296,552
TAMRA-HiBiT,510,243,183,413
TAMRA-HiBiT,520,177,264,333
TAMRA-HiBiT,530,130,167,186
TAMRA-HiBiT,540,315,370,670
TAMRA-HiBiT,550,1440,1184,2122
TAMRA-HiBiT,560,4698,4039,8451
TAMRA-HiBiT,570,9206,7875,16267
TAMRA-HiBiT,580,13522,10846,22428
TAMRA-HiBiT,590,13020,11600,22629
TAMRA-HiBiT,600,10350,9097,19445
TAMRA-Gly-HiBiT,400,167,124,161
TAMRA-Gly-HiBiT,410,296,318,461
TAMRA-Gly-HiBiT,420,821,1062,1035
TAMRA-Gly-HiBiT,430,1149,1565,1492
TAMRA-Gly-HiBiT,440,1589,1541,1945
TAMRA-Gly-HiBiT,450,1876,1936,2179
TAMRA-Gly-HiBiT,460,1475,1283,1610
TAMRA-Gly-HiBiT,470,1096,1354,1202
TAMRA-Gly-HiBiT,480,751,976,1133
TAMRA-Gly-HiBiT,490,591,844,820
TAMRA-Gly-HiBiT,500,613,692,537
TAMRA-Gly-HiBiT,510,347,414,548
TAMRA-Gly-HiBiT,520,285,306,360
TAMRA-Gly-HiBiT,530,314,237,195
TAMRA-Gly-HiBiT,540,265,401,475
TAMRA-Gly-HiBiT,550,841,1170,1402
TAMRA-Gly-HiBiT,560,3585,3907,4904
TAMRA-Gly-HiBiT,570,7310,7297,9193
TAMRA-Gly-HiBiT,580,9067,10309,12135
TAMRA-Gly-HiBiT,590,10602,9878,11505
TAMRA-Gly-HiBiT,600,7828,8611,10054
TAMRA-Gly3-HiBiT,400,112,142,115
TAMRA-Gly3-HiBiT,410,531,512,445
TAMRA-Gly3-HiBiT,420,1208,1163,1067
TAMRA-Gly3-HiBiT,430,1747,1914,1853
TAMRA-Gly3-HiBiT,440,2304,2777,2335
TAMRA-Gly3-HiBiT,450,2664,2654,2485
TAMRA-Gly3-HiBiT,460,2116,2059,1927
TAMRA-Gly3-HiBiT,470,1802,1973,1686
TAMRA-Gly3-HiBiT,480,1307,1508,1398
TAMRA-Gly3-HiBiT,490,960,1136,789
TAMRA-Gly3-HiBiT,500,714,989,676
TAMRA-Gly3-HiBiT,510,455,554,537
TAMRA-Gly3-HiBiT,520,351,564,430
TAMRA-Gly3-HiBiT,530,286,447,174
TAMRA-Gly3-HiBiT,540,358,412,322
TAMRA-Gly3-HiBiT,550,994,1012,755
TAMRA-Gly3-HiBiT,560,2522,3163,3250
TAMRA-Gly3-HiBiT,570,4670,6133,5835
TAMRA-Gly3-HiBiT,580,8180,8535,7829
TAMRA-Gly3-HiBiT,590,7430,8971,9197
TAMRA-Gly3-HiBiT,600,6231,7444,6483
TAMRA-Gly5-HiBiT,400,205,123,109
TAMRA-Gly5-HiBiT,410,490,647,409
TAMRA-Gly5-HiBiT,420,1572,1282,1429
TAMRA-Gly5-HiBiT,430,2151,1959,1864
TAMRA-Gly5-HiBiT,440,2524,2201,2516
TAMRA-Gly5-HiBiT,450,2879,3046,2924
TAMRA-Gly5-HiBiT,460,2233,1988,2269
TAMRA-Gly5-HiBiT,470,1882,1605,2036
TAMRA-Gly5-HiBiT,480,1479,1543,1498
TAMRA-Gly5-HiBiT,490,1274,1165,1195
TAMRA-Gly5-HiBiT,500,868,960,824
TAMRA-Gly5-HiBiT,510,848,485,555
TAMRA-Gly5-HiBiT,520,497,304,544
TAMRA-Gly5-HiBiT,530,297,316,246
TAMRA-Gly5-HiBiT,540,178,297,418
TAMRA-Gly5-HiBiT,550,494,594,595
TAMRA-Gly5-HiBiT,560,1387,1915,1248
TAMRA-Gly5-HiBiT,570,3278,3639,2788
TAMRA-Gly5-HiBiT,580,4995,5050,4600
TAMRA-Gly5-HiBiT,590,5203,5425,4969
TAMRA-Gly5-HiBiT,600,3717,4670,3803
