wavelength,sample,trial1,trial2,trial3
300,HiBiT,77,65,379
305,HiBiT,267,108,666
310,HiBiT,206,8,47
315,HiBiT,83,63,100
320,HiBiT,175,79,19
325,HiBiT,65,57,24
330,HiBiT,4,191,124
335,HiBiT,38,15,17
340,HiBiT,20,52,21
345,HiBiT,147,155,99
350,HiBiT,85,4,11
355,HiBiT,135,6,19
360,HiBiT,20,2,28
365,HiBiT,2,49,4
370,HiBiT,2,14,35
375,HiBiT,35,43,40
380,HiBiT,62,57,18
385,HiBiT,59,17,146
390,HiBiT,194,311,366
395,HiBiT,771,783,808
400,HiBiT,1775,1435,1621
405,HiBiT,3869,3492,3895
410,HiBiT,8720,6865,7012
415,HiBiT,15843,11587,11268
420,HiBiT,21054,15830,18635
425,HiBiT,29078,20545,24267
430,HiBiT,34559,26866,28395
435,HiBiT,38512,30217,34284
440,HiBiT,42969,32505,34934
445,HiBiT,47014,36187,39074
450,HiBiT,45689,34345,38925
455,HiBiT,43433,32806,37498
460,HiBiT,39296,27128,31030
465,HiBiT,31851,24807,27904
470,HiBiT,29248,24303,25657
475,HiBiT,27389,20041,23339
480,HiBiT,22719,19463,18279
485,HiBiT,19859,17293,18344
490,HiBiT,17502,13643,17073
495,HiBiT,17391,11722,13145
500,HiBiT,14013,10934,11795
505,HiBiT,10658,8569,9984
510,HiBiT,9031,7507,8119
515,HiBiT,8254,5339,6999
520,HiBiT,7329,5571,6705
525,HiBiT,5902,4749,5423
530,HiBiT,4554,4149,4403
535,HiBiT,3825,3728,3451
540,HiBiT,3680,2687,3535
545,HiBiT,2617,1659,2560
550,HiBiT,1863,1484,2434
555,HiBiT,2128,1258,1466
560,HiBiT,1776,1404,1082
565,HiBiT,1758,1291,910
570,HiBiT,867,870,1312
575,HiBiT,875,357,904
580,HiBiT,1519,298,560
585,HiBiT,692,626,726
590,HiBiT,420,583,350
595,HiBiT,484,631,497
600,HiBiT,544,387,255
300,FAM-HiBiT,31,34,201
305,FAM-HiBiT,158,292,8
310,FAM-HiBiT,49,119,17
315,FAM-HiBiT,52,6,146
320,FAM-HiBiT,84,4,8
325,FAM-HiBiT,22,42,2
330,FAM-HiBiT,24,32,3
335,FAM-HiBiT,5,37,7
340,FAM-HiBiT,38,148,26
345,FAM-HiBiT,50,15,3
350,FAM-HiBiT,30,410,16
355,FAM-HiBiT,16,7,31
360,FAM-HiBiT,62,28,39
365,FAM-HiBiT,2,16,20
