wavelength,sample,trial1,trial2
398,HiBiT-Pro3-His6,59,29
413,HiBiT-Pro3-His6,346,262
428,HiBiT-Pro3-His6,973,764
443,HiBiT-Pro3-His6,1572,1249
458,HiBiT-Pro3-His6,1685,1309
473,HiBiT-Pro3-His6,1432,1135
488,HiBiT-Pro3-His6,976,844
503,HiBiT-Pro3-His6,694,659
518,HiBiT-Pro3-His6,434,358
533,HiBiT-Pro3-His6,231,206
548,HiBiT-Pro3-His6,141,136
563,HiBiT-Pro3-His6,87,80
578,HiBiT-Pro3-His6,114,95
593,HiBiT-Pro3-His6,321,275
608,HiBiT-Pro3-His6,1409,1317
623,HiBiT-Pro3-His6,4493,4315
638,HiBiT-Pro3-His6,6067,5689
653,HiBiT-Pro3-His6,4180,4315
398,His6-Pro3-HiBiT,203,158
413,His6-Pro3-HiBiT,1241,962
428,His6-Pro3-HiBiT,3332,2853
443,His6-Pro3-HiBiT,5765,4817
458,His6-Pro3-HiBiT,6227,5221
473,His6-Pro3-HiBiT,5453,4651
488,His6-Pro3-HiBiT,3719,3047
503,His6-Pro3-HiBiT,2965,2359
518,His6-Pro3-HiBiT,1770,1443
533,His6-Pro3-HiBiT,833,743
548,His6-Pro3-HiBiT,608,504
563,His6-Pro3-HiBiT,383,328
578,His6-Pro3-HiBiT,472,405
593,His6-Pro3-HiBiT,1423,1234
608,His6-Pro3-HiBiT,7215,6053
623,His6-Pro3-HiBiT,23364,19832
638,His6-Pro3-HiBiT,31936,27354
653,His6-Pro3-HiBiT,23134,19514
398,HiBiT-His6,165,193
413,HiBiT-His6,1198,1278
428,HiBiT-His6,3277,3481
443,HiBiT-His6,5659,5872
458,HiBiT-His6,6028,6285
473,HiBiT-His6,5373,5569
488,HiBiT-His6,3637,3781
503,HiBiT-His6,2829,2932
518,HiBiT-His6,1704,1750
533,HiBiT-His6,869,967
548,HiBiT-His6,579,620
563,HiBiT-His6,375,382
578,HiBiT-His6,373,410
593,HiBiT-His6,1090,1097
608,HiBiT-His6,5147,5335
623,HiBiT-His6,15789,16803
638,HiBiT-His6,21459,23340
653,HiBiT-His6,15016,16445
398,His6-HiBiT,75,64
413,His6-HiBiT,353,346
428,His6-HiBiT,1021,904
443,His6-HiBiT,1748,1624
458,His6-HiBiT,1797,1760
473,His6-HiBiT,1672,1508
488,His6-HiBiT,1076,1024
503,His6-HiBiT,873,800
518,His6-HiBiT,510,513
533,His6-HiBiT,269,297
548,His6-HiBiT,184,156
563,His6-HiBiT,138,116
578,His6-HiBiT,149,119
593,His6-HiBiT,370,419
608,His6-HiBiT,1941,1897
623,His6-HiBiT,6379,6168
638,His6-HiBiT,8656,8291
653,His6-HiBiT,6254,6186
